iter	Passed	Remaining
131	5645	24292
132	5674	24189
133	5709	24114
134	5735	24005
135	5775	23951
136	5818	23912
137	5852	23833
138	5889	23767
139	5923	23694
140	5978	23700
141	6017	23645
142	6059	23600
143	6099	23549
144	6147	23530
145	6188	23483
146	6223	23413
147	6266	23372
148	6324	23386
149	6355	23301
150	6397	23258
151	6432	23189
152	6472	23138
153	6511	23086
154	6546	23018
155	6582	22954
156	6627	22922
157	6657	22836
158	6694	22777
159	6725	22697
160	6763	22643
161	6799	22581
162	6841	22538
163	6908	22578
164	6954	22548
165	6993	22496
166	7032	22444
167	7082	22427
168	7136	22421
169	7186	22403
170	7234	22379
171	7265	22304
172	7309	22267
173	7340	22189
174	7378	22134
175	7413	22071
176	7447	22007
177	7489	21964
178	7529	21916
179	7558	21836
180	7591	21768
181	7629	21714
182	7667	21662
183	7707	21614
184	7736	21536
185	7787	21521
186	7822	21459
187	7865	21422
188	7926	21431
189	7980	21420
190	8022	21378
191	8053	21308
192	8087	21245
193	8124	21191
194	8155	21120
195	8183	21043
196	8219	20986
197	8245	20904
198	8288	20867
199	8320	20801
200	8380	20805
201	8413	20741
202	8452	20694
203	8513	20698
204	8553	20652
205	8585	20589
206	8613	20514
207	8646	20452
208	8688	20412
209	8739	20391
210	8785	20360
211	8827	20319
212	8860	20258
213	8902	20218
214	8939	20165
215	8997	20161
216	9031	20101
217	9062	20036
218	9116	20022
219	9163	19993
220	9202	19946
221	9254	19927
222	9287	19865
223	9322	19810
224	9364	19769
225	9425	19768
226	9491	19776
227	9524	19717
228	9560	19663
229	9589	19595
230	9664	19621
231	9701	19569
232	9731	19505
233	9789	19495
234	9828	19448
235	9877	19419
236	9914	19368
237	9955	19326
238	9996	19281
239	10029	19222
240	10082	19202
241	10137	19186
242	10171	19128
243	10214	19089
244	10248	19032
245	10282	18976
246	10322	18931
247	10352	18868
248	10390	18820
249	10424	18764
250	10463	18716
251	10494	18657
252	10526	18598
253	10567	18555
254	10598	18495
255	10632	18441
256	10677	18404
257	10719	18364
258	10752	18308
259	10781	18245
260	10820	18200
261	10867	18168
262	10906	18122
263	10939	18066
264	10974	18014
265	11007	17960
266	11050	17920
267	11095	17884
268	11134	17840
269	11164	17780
270	11204	17736
271	11244	17693
272	11287	17654
273	11323	17605
274	11354	17547
275	11408	17526
276	11441	17472
277	11489	17440
278	11534	17404
279	11582	17373
280	11609	17310
281	11631	17240
282	11655	17174
283	11684	17115
284	11747	17105
285	11797	17077
286	11836	17032
287	11885	17002
288	11919	16950
289	11954	16901
290	11987	16848
291	12028	16806
292	12056	16747
293	12090	16696
294	12131	16655
295	12162	16600
296	12201	16555
297	12228	16495
298	12287	16479
299	12327	16436
300	12370	16397
301	12425	16375
302	12474	16344
303	12513	16300
304	12551	16254
305	12582	16201
306	12628	16166
307	12685	16144
308	12728	16105
309	12762	16056
310	12810	16022
311	12857	15989
312	12908	15959
313	12951	15920
314	12996	15884
315	13049	15857
316	13121	15852
317	13168	15818
318	13212	15780
319	13244	15728
320	13288	15689
321	13320	15637
322	13368	15603
323	13410	15562
324	13468	15540
325	13500	15488
326	13532	15436
327	13567	15387
328	13619	15357
329	13656	15311
330	13698	15270
331	13732	15221
332	13801	15210
333	13864	15192
334	13898	15143
335	13934	15095
336	13983	15061
337	14039	15036
338	14099	15014
339	14179	15013
340	14250	15002
341	14295	14963
342	14333	14918
343	14394	14896
344	14449	14868
345	14494	14829
346	14528	14779
347	14605	14773
348	14639	14723
349	14691	14691
350	14726	14642
351	14767	14599
352	14795	14544
353	14825	14490
354	14873	14454
355	14905	14403
356	14945	14359
357	14979	14309
358	15012	14260
359	15048	14212
360	15106	14186
361	15149	14145
362	15180	14093
363	15209	14039
364	15243	13990
365	15280	13944
366	15321	13902
367	15365	13862
368	15390	13805
369	15425	13757
370	15463	13712
371	15507	13672
372	15549	13632
373	15587	13586
374	15623	13540
375	15665	13498
376	15707	13457
377	15738	13406
378	15773	13359
379	15802	13307
380	15846	13267
381	15912	13246
382	15967	13215
383	16013	13177
384	16078	13154
385	16145	13134
386	16192	13095
387	16228	13049
388	16266	13004
389	16309	12963
390	16358	12927
391	16441	12918
392	16482	12875
393	16510	12823
394	16536	12768
395	16563	12715
396	16590	12662
397	16623	12613
398	16671	12576
399	16718	12538
400	16766	12501
401	16820	12468
402	16856	12422
403	16916	12394
404	16987	12373
405	17027	12330
406	17068	12287
407	17098	12237
408	17126	12185
409	17161	12138
410	17237	12120
411	17279	12078
412	17308	12028
413	17332	11973
414	17369	11928
415	17405	11882
416	17450	11842
417	17501	11807
418	17554	11772
419	17589	11726
420	17628	11682
421	17655	11631
422	17687	11582
423	17712	11530
424	17746	11482
425	17781	11437
426	17822	11394
427	17869	11356
428	17908	11312
429	17949	11270
430	18003	11236
431	18046	11195
432	18094	11157
433	18132	11113
434	18178	11074
435	18207	11024
436	18235	10974
437	18285	10937
438	18329	10897
439	18361	10850
440	18412	10813
441	18459	10775
442	18495	10729
443	18530	10684
444	18576	10644
445	18612	10599
446	18660	10561
447	18690	10513
448	18747	10480
449	18787	10437
450	18829	10395
451	18910	10375
452	18943	10329
453	18980	10284
454	19030	10247
455	19065	10201
456	19142	10178
457	19211	10150
458	19251	10107
459	19277	10058
460	19332	10022
461	19376	9981
462	19436	9949
463	19473	9904
464	19500	9855
465	19530	9807
466	19563	9760
467	19601	9716
468	19630	9668
469	19659	9620
470	19694	9575
471	19752	9541
472	19788	9496
473	19863	9470
474	19912	9432
475	19954	9390
476	19994	9347
477	20028	9301
478	20071	9260
479	20109	9216
480	20146	9172
481	20190	9131
482	20231	9089
483	20259	9041
484	20294	8996
485	20325	8949
486	20357	8903
487	20408	8866
488	20449	8823
489	20482	8778
490	20515	8732
491	20552	8688
492	20591	8645
493	20624	8600
494	20656	8554
495	20700	8513
496	20745	8473
497	20787	8431
498	20828	8389
499	20856	8342
500	20888	8297
501	20925	8253
502	20966	8211
503	21007	8169
504	21034	8122
505	21086	8084
506	21124	8041
507	21155	7995
508	21189	7951
509	21227	7908
510	21270	7867
511	21319	7828
512	21359	7786
513	21392	7741
514	21426	7696
515	21468	7655
516	21499	7610
517	21555	7573
518	21609	7536
519	21664	7499
520	21706	7457
521	21746	7415
522	21797	7376
523	21835	7333
524	21872	7290
525	21918	7250
526	21963	7209
527	22003	7167
528	22039	7124
529	22084	7083
530	22123	7041
531	22156	6996
532	22199	6955
533	22254	6918
534	22300	6877
535	22337	6834
536	22391	6796
537	22422	6751
538	22458	6708
539	22488	6663
540	22523	6619
541	22555	6575
542	22587	6530
543	22637	6491
544	22675	6449
545	22700	6402
546	22734	6359
547	22787	6320
548	22822	6277
549	22863	6235
550	22910	6195
551	22964	6157
552	23019	6119
553	23071	6080
554	23118	6040
555	23158	5997
556	23183	5952
557	23230	5911
558	23275	5870
559	23318	5829
560	23353	5786
561	23398	5745
562	23437	5703
563	23478	5661
564	23541	5624
565	23585	5583
566	23619	5540
567	23688	5505
568	23727	5462
569	23769	5421
570	23813	5379
571	23866	5340
572	23910	5299
573	23960	5259
574	24012	5220
575	24072	5182
576	24119	5141
577	24153	5098
578	24196	5056
579	24233	5013
580	24282	4973
581	24336	4934
582	24405	4897
583	24442	4854
584	24475	4811
585	24503	4766
586	24537	4723
587	24578	4681
588	24622	4640
589	24649	4595
590	24678	4551
591	24716	4509
592	24765	4468
593	24809	4427
594	24853	4385
595	24880	4341
596	24930	4301
597	24964	4258
598	24998	4215
599	25036	4172
600	25089	4132
601	25121	4089
602	25159	4047
603	25198	4005
604	25240	3963
605	25273	3920
606	25308	3877
607	25343	3834
608	25388	3793
609	25431	3752
610	25459	3708
611	25486	3664
612	25524	3622
613	25555	3579
614	25599	3538
615	25658	3498
616	25706	3458
617	25748	3416
618	25786	3374
619	25818	3331
620	25854	3289
621	25895	3247
622	25934	3205
623	25978	3164
624	26004	3120
625	26040	3078
626	26088	3037
627	26136	2996
628	26176	2954
629	26227	2914
630	26257	2871
631	26305	2830
632	26343	2788
633	26390	2747
634	26437	2706
635	26500	2666
636	26537	2624
637	26579	2582
638	26629	2542
639	26663	2499
640	26703	2457
641	26748	2416
642	26797	2375
643	26860	2335
644	26913	2294
645	26961	2253
646	27002	2211
647	27046	2170
648	27093	2129
649	27133	2087
650	27162	2044
651	27206	2002
652	27235	1960
653	27261	1917
654	27289	1874
655	27323	1832
656	27357	1790
657	27396	1748
658	27428	1706
659	27462	1664
660	27500	1622
661	27546	1581
662	27584	1539
663	27618	1497
664	27660	1455
665	27695	1413
666	27737	1372
667	27766	1330
668	27795	1287
669	27831	1246
670	27867	1204
671	27910	1162
672	27941	1120
673	27992	1079
674	28034	1038
675	28092	997
676	28137	955
677	28171	914
678	28207	872
679	28260	831
680	28309	789
681	28347	748
682	28392	706
683	28440	665
684	28491	623
685	28528	582
686	28568	540
687	28619	499
688	28653	457
689	28706	416
690	28757	374
691	28807	333
692	28841	291
693	28884	249
694	28925	208
695	28958	166
696	29012	124
697	29045	83
698	29083	41
699	29131	0
