iter	Logloss
0	0.6842083271
1	0.6715432974
2	0.6592039842
3	0.6482948303
4	0.6432565542
5	0.6395751953
6	0.6298561683
7	0.6263947707
8	0.6207161537
9	0.6090506334
10	0.6051268357
11	0.6010547345
12	0.5968840379
13	0.5920860291
14	0.5881015484
15	0.5802702684
16	0.5743652344
17	0.5711023771
18	0.5682408259
19	0.5637015123
20	0.5565149161
21	0.553534229
22	0.5500568096
23	0.5475764348
24	0.5441842886
25	0.5416353666
26	0.5342644325
27	0.5309032734
28	0.5272109985
29	0.5232089116
30	0.5181574308
31	0.5150307289
32	0.51212346
33	0.5100934542
34	0.5084886991
35	0.5055553143
36	0.5027239286
37	0.500371845
38	0.4982889616
39	0.4949943542
40	0.4926094642
41	0.4905340341
42	0.4860799349
43	0.4842230577
44	0.4828813406
45	0.4784486037
46	0.4754515428
47	0.4729579045
48	0.4706311739
49	0.4683020078
50	0.4650548201
51	0.4619904151
52	0.459845675
53	0.4564007686
54	0.4550788293
55	0.4532250331
56	0.4496114291
57	0.4470436683
58	0.4447975159
59	0.4421218872
60	0.4397307763
61	0.4377473684
62	0.4360882099
63	0.4330701388
64	0.431002837
65	0.4288526388
66	0.4259257097
67	0.4237324641
68	0.421237212
69	0.4189230112
70	0.4169809782
71	0.4150226886
72	0.4129059425
73	0.4112768026
74	0.4077654325
75	0.4041626563
76	0.4019818233
77	0.4002872174
78	0.3982605861
79	0.3962164659
80	0.3948403579
81	0.3924865723
82	0.3905429253
83	0.3881652245
84	0.3856403057
85	0.3824297978
86	0.3802422157
87	0.3776890094
88	0.3754824125
89	0.3736393562
90	0.3722474025
91	0.3707132193
92	0.3693583562
93	0.3683470506
94	0.3667944395
95	0.3639978262
96	0.3625877967
97	0.3615551875
98	0.36013568
99	0.3589409755
100	0.357414539
101	0.3555217449
102	0.3544119028
103	0.3531001458
104	0.3515286666
105	0.3487157381
106	0.3469581604
107	0.345953956
108	0.343860098
109	0.3421163412
110	0.34070505
111	0.3394416222
112	0.3373078273
113	0.3345690801
114	0.3326918088
115	0.3319767879
116	0.3304664612
117	0.3285015106
118	0.3271577395
119	0.3256577712
120	0.3248036605
121	0.3227285532
122	0.3215224926
123	0.3202283419
124	0.3187801361
125	0.3180892064
126	0.3166375967
127	0.3153599666
128	0.3138988788
129	0.3122893407
130	0.310791045
131	0.3088367462
132	0.307836738
133	0.3065664145
134	0.3054662264
135	0.3041954627
136	0.3018324632
137	0.2995188786
138	0.2978636522
139	0.2963795589
140	0.2954480685
141	0.2939794981
142	0.2928098825
143	0.2914238563
144	0.2904242589
145	0.2889357934
146	0.2874451857
147	0.286394266
148	0.2846170572
149	0.2826801593
150	0.2808428838
151	0.2798259148
152	0.2785359896
153	0.2776927361
154	0.275968669
155	0.2747960311
156	0.27376574
157	0.2727386181
158	0.2710940141
159	0.2688841013
160	0.2670483222
161	0.2656164316
162	0.263799462
163	0.2615267827
164	0.2597923279
165	0.2583203829
166	0.2568383437
167	0.2551931528
168	0.2544603788
169	0.2534990164
170	0.2521115817
171	0.250802671
172	0.2487258324
173	0.2471981342
174	0.2457622822
175	0.2441793882
176	0.2426465988
177	0.2411693573
178	0.2393077263
179	0.2382338891
180	0.2367372366
181	0.2355726389
182	0.2338947883
183	0.2327520517
184	0.2315345031
185	0.230137781
186	0.2285781273
187	0.2274115196
188	0.2248770787
189	0.2233773158
190	0.2219852448
191	0.2206953489
192	0.2200378418
193	0.2187541962
194	0.2170263144
195	0.2161297138
196	0.2149616535
197	0.2132138179
198	0.2118170225
199	0.2100858101
200	0.2089186742
201	0.2074117807
202	0.2060700343
203	0.2050956286
204	0.2041549096
205	0.2024420665
206	0.2012245325
207	0.2000988007
208	0.1991472098
209	0.1978216905
210	0.1967851492
211	0.1953518354
212	0.1937757932
213	0.1929500873
214	0.1914900266
215	0.1899829424
216	0.1886246314
217	0.1873962696
218	0.1864619915
219	0.1853397663
220	0.1842590039
221	0.1833095257
222	0.1820460099
223	0.1811824799
224	0.1801726121
225	0.1786475402
226	0.1775753902
227	0.1770036844
228	0.1761665638
229	0.175137153
230	0.1741279602
231	0.1732051996
232	0.1722453631
233	0.1710091077
234	0.1693814204
235	0.1685136942
236	0.1674937028
237	0.1665560942
238	0.1654685681
239	0.1645153046
240	0.1635817014
241	0.1626062687
242	0.1617006449
243	0.160507613
244	0.1596604567
245	0.1587217184
246	0.1576243327
247	0.156756137
248	0.1556659112
249	0.1549476624
250	0.1542947036
251	0.1531541971
252	0.1522935134
253	0.1515907288
254	0.1504727877
255	0.1497010891
256	0.1490136954
257	0.1482169371
258	0.1477578823
259	0.1469892502
260	0.1462142064
261	0.1453042544
262	0.1445931948
263	0.1439325333
264	0.1430121202
265	0.1423085433
266	0.1417090636
267	0.1409482809
268	0.1400260192
269	0.139425263
270	0.1388827251
271	0.1380506809
272	0.1373465025
273	0.1362191714
274	0.135711934
275	0.1350647266
276	0.1343743691
277	0.1336256908
278	0.1325765903
279	0.1320570726
280	0.131343328
281	0.130686892
282	0.130314108
283	0.1296337128
284	0.1290830319
285	0.128508069
286	0.1282103318
287	0.1276403867
288	0.1271853814
289	0.1265734599
290	0.1259617439
291	0.1253663577
292	0.1246876056
293	0.1239210569
294	0.1230567125
295	0.1220097468
296	0.1212599094
297	0.1206008031
298	0.1199841793
299	0.1194823559
300	0.1189935097
301	0.1183629403
302	0.1178340325
303	0.1170475593
304	0.1162735426
305	0.1157609206
306	0.1153250694
307	0.1148812587
308	0.114166069
309	0.1134376966
310	0.1127518434
311	0.1121627074
312	0.1117892485
313	0.111626559
314	0.1109094033
315	0.1108285537
316	0.110412671
317	0.1099003718
318	0.1092569204
319	0.1084106152
320	0.1076236578
321	0.1070184267
322	0.1065205647
323	0.1057158837
324	0.1052123583
325	0.1043253092
326	0.1038195537
327	0.1033421296
328	0.1029276774
329	0.1023545485
330	0.1018790979
331	0.1012572215
332	0.10061724
333	0.1001519717
334	0.09951933347
335	0.09945954543
336	0.09894850804
337	0.09847007165
338	0.09788391407
339	0.09738663893
340	0.09683324374
341	0.09637256769
342	0.09597813533
343	0.09556985268
344	0.09500604043
345	0.09460725051
346	0.09417258043
347	0.09363510425
348	0.09310045976
349	0.09259828421
350	0.09216974699
351	0.0916601988
352	0.09122515458
353	0.09077009054
354	0.09043197632
355	0.08991440993
356	0.08945607405
357	0.08907023943
358	0.08854701702
359	0.08824933859
360	0.08782416124
361	0.08739303442
362	0.08690721805
363	0.08649939757
364	0.08610272041
365	0.08574287708
366	0.08517890343
367	0.08476949105
368	0.0843784479
369	0.08414428417
370	0.08391306217
371	0.08368548613
372	0.08328678425
373	0.08293051353
374	0.0825904186
375	0.08201805995
376	0.08136537992
377	0.08098253103
378	0.08049341349
379	0.08016210703
380	0.079749034
381	0.07933245439
382	0.07887611389
383	0.07849985269
384	0.07803517855
385	0.07773648776
386	0.07744032786
387	0.07704510322
388	0.07675567774
389	0.07644359148
390	0.07606656001
391	0.07580977953
392	0.07529358497
393	0.07475687907
394	0.07453425481
395	0.07416167626
396	0.07386659475
397	0.07350820395
398	0.07309995798
399	0.07284473272
400	0.07251936106
401	0.07208864505
402	0.07166304955
403	0.07125255878
404	0.07088312002
405	0.07059602004
406	0.07030721811
407	0.07006950378
408	0.06978478065
409	0.06943646211
410	0.06904295408
411	0.06860711758
412	0.06827714627
413	0.06793334667
414	0.0676422706
415	0.06727144535
416	0.06701217064
417	0.06698568784
418	0.06675005693
419	0.06645513681
420	0.06618705163
421	0.06597474172
422	0.06570355342
423	0.06545479114
424	0.06516109613
425	0.06489383991
426	0.06461791992
427	0.0643256701
428	0.06396726462
429	0.06371476834
430	0.06337382243
431	0.06308566607
432	0.06291222939
433	0.06273658459
434	0.06248047168
435	0.06221134479
436	0.0619206722
437	0.0617128739
438	0.06141639123
439	0.06116132736
440	0.06089048386
441	0.06050957166
442	0.06023450631
443	0.05998757803
444	0.05964769583
445	0.05937000055
446	0.05909880125
447	0.05879600965
448	0.05853900543
449	0.05833101273
450	0.05810461778
451	0.05791992774
452	0.05763466175
453	0.05750056047
454	0.05725609706
455	0.05713813122
456	0.05696936387
457	0.05670879071
458	0.05644956002
459	0.05621363566
460	0.05603251824
461	0.05577007074
462	0.05547048862
463	0.05528546847
464	0.05514155901
465	0.05496263137
466	0.05466200755
467	0.05448900369
468	0.05425709578
469	0.05393665754
470	0.05370268455
471	0.05351347556
472	0.05325630628
473	0.05300060052
474	0.05281712825
475	0.05253665631
476	0.05223307976
477	0.05203018188
478	0.05184134703
479	0.05157743967
480	0.05140664761
481	0.05125383964
482	0.05103677603
483	0.05080685982
484	0.05058517456
485	0.05041309503
486	0.05027748255
487	0.05009139868
488	0.0498762901
489	0.04971200503
490	0.04956071193
491	0.04934538328
492	0.04906918086
493	0.04905160024
494	0.04892080014
495	0.04866322004
496	0.04861378303
497	0.04848874165
498	0.04835080734
499	0.04816585687
500	0.04802021247
501	0.04786167145
502	0.04769419157
503	0.0475728035
504	0.04740970318
505	0.04724258643
506	0.04706065471
507	0.04693361429
508	0.04679815953
509	0.04650976108
510	0.04634109277
511	0.04626999635
512	0.04616352962
513	0.04596231901
514	0.04574841719
515	0.04556379318
516	0.04538332132
517	0.04525260192
518	0.04519976102
519	0.04514659001
520	0.0448861599
521	0.04473298146
522	0.04457192421
523	0.04448217612
524	0.04434862137
525	0.04421433302
526	0.04405007729
527	0.04387457921
528	0.04371480208
529	0.04347111629
530	0.04329248575
531	0.04310232309
532	0.04298997292
533	0.04281803278
534	0.04267099087
535	0.04257703194
536	0.04244490403
537	0.0422578078
538	0.04209773724
539	0.0419105163
540	0.04178425716
541	0.0417054323
542	0.04153193327
543	0.04142980209
544	0.04130923198
545	0.04112560932
546	0.04099369049
547	0.04087729087
548	0.04072196667
549	0.04061285899
550	0.04050243818
551	0.04038184973
552	0.04025316972
553	0.04015416365
554	0.04001561312
555	0.03988907887
